syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_open0,syl_open1,syl_open2,syl_phoncat0,syl_phoncat1,syl_phoncat2,onset_phoncat0,onset_phoncat1,onset_phoncat2,koda_phoncat0,koda_phoncat1,koda_phoncat2,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,syl_len0,syl_len1,syl_len2,koda_len0,koda_len1,koda_len2,onset_len0,onset_len1,onset_len2,nucleus_len0,nucleus_len1,nucleus_len2,syl_cv0,syl_cv1,syl_cv2,cv_ratio0,cv_ratio1,cv_ratio2,pos,comp_struct,nomen,comp_len,Word,stress_class
kus,ø,s,us,kus,akus,bakus,C,KC,CKC,KCKC,CKCKC,ø,A,ø,A,Ab,Aba,Abak,Abaku,L,LC,LCK,LCKC,LCKCK,ø,10,7,10,10,3,3,0,light,light,light,o,c,c,L,CK,CKC,,C,C,,,C,L,K,K,1,2,3,0,1,1,0,1,1,2,1,1,VV,CVC,CVC,0,2,2,N,ø,T,0,Abakus,antepaenultima
dern,ø,n,rn,ern,dern,ndern,C,CC,KCC,CKCC,CCKCC,ø,ab,ab,a,ab,aba,abae,abaen,K,KC,KCK,KCKC,KCKCC,acc,7,9,14,3,4,3,3,light,light,schwa,c,c,c,KC,KC,CKCC,,,C,C,C,CC,K,K,K,2,2,4,1,1,2,0,0,1,1,1,1,VC,VC,CVCC,1,1,3,V,V,F,1,abaendern,antepaenultima
don,ø,n,on,don,ndon,andon,N,CN,NCN,CNCN,KCNCN,ø,A,ø,A,Ab,Aba,Aban,Aband,K,KC,KCN,KCNC,KCNCN,ø,6,9,9,6,4,4,1,light,light,light,c,o,o,K,CN,CN,,C,C,,,,K,N,N,1,3,3,1,0,0,0,1,1,1,2,2,VC,CVV,CVV,1,0,0,N,ø,T,0,Abandon,ultima
ten,ø,n,en,ten,rten,arten,C,KC,CKC,CCKC,LCCKC,ø,ab,ab,a,ab,aba,abar,abart,K,KC,KCL,KCLC,KCLCC,acc,7,14,10,3,7,3,1,light,light,schwa,c,c,c,KC,LC,CKC,,,C,C,C,C,K,L,K,2,2,3,1,1,1,0,0,1,1,2,1,VC,VVC,CVC,1,0,2,V,V,F,1,abarten,antepaenultima
tig,ø,g,ig,tig,rtig,artig,C,KC,CKC,CCKC,LCCKC,noacc,ab,ab,a,ab,aba,abar,abart,K,KC,KCL,KCLC,KCLCC,acc,7,14,10,3,7,3,1,light,light,light,c,c,c,KC,LC,CKC,,,C,C,C,C,K,L,K,2,2,3,1,1,1,0,0,1,1,2,1,VC,VVC,CVC,1,0,2,A,N,F,1,abartig,antepaenultima
tung,ø,g,ng,ung,tung,rtung,C,KC,CKC,CCKC,LCCKC,ø,Ab,ø,A,Ab,Aba,Abar,Abart,K,KC,KCL,KCLC,KCLCC,acc,7,14,12,3,7,4,2,light,light,light,c,c,c,KC,LC,CKC,,,C,C,C,C,K,L,K,2,2,4,1,1,1,0,0,1,1,2,1,VC,VVC,CVC,1,0,2,N,V,T,1,Abartung,antepaenultima
sie,ø,e,ie,sie,asie,basie,L,CL,KCL,CKCL,KCKCL,ø,A,ø,A,Ab,Aba,Abas,Abasi,K,KC,KCK,KCKC,KCKCL,ø,6,7,9,6,3,4,1,light,light,light,c,c,o,K,CK,CL,,C,C,,,,K,K,L,1,2,3,1,1,0,0,1,1,1,1,2,VC,CVC,CVV,1,2,0,N,ø,T,0,Abasie,ultima
sten,ø,n,en,ten,sten,esten,C,KC,CKC,CCKC,KCCKC,ø,ab,ab,a,ab,aba,abae,abaes,K,KC,KCK,KCKC,KCKCC,acc,7,7,10,3,3,3,1,light,light,schwa,c,c,c,KC,KC,CKC,,,C,C,C,C,K,K,K,2,1,4,1,1,1,0,0,1,1,1,1,VC,VC,CVC,1,1,2,V,V,F,1,abaesten,antepaenultima
en,ø,n,en,uen,auen,bauen,C,KC,DKC,CDKC,CCDKC,ø,ab,ab,a,ab,abb,abba,abbau,K,KC,KCC,KCCD,KCCDK,acc,7,11,9,3,5,4,1,light,light,schwa,c,o,c,KC,CD,KC,,C,,C,,C,K,D,K,2,3,2,1,0,1,0,1,0,1,2,1,VC,CVV,VC,1,0,1,V,V,F,1,abbauen,antepaenultima
zen,ø,n,en,zen,izen,eizen,C,KC,AKC,DAKC,CDAKC,ø,ab,ab,a,ab,abb,abbe,abbei,K,KC,KCC,KCCD,KCCDA,acc,7,11,10,3,5,3,1,light,light,schwa,c,o,c,KC,CD,AKC,,C,A,C,,C,K,D,K,2,3,3,1,0,1,0,1,1,1,2,1,VC,CVV,CVC,1,0,2,V,V,F,1,abbeizen,antepaenultima
gen,ø,n,en,gen,egen,iegen,C,KC,CKC,LCKC,CLCKC,ø,ab,ab,a,ab,abb,abbi,abbie,K,KC,KCC,KCCL,KCCLC,acc,7,9,10,3,4,3,1,light,light,schwa,c,o,c,KC,CL,CKC,,C,C,C,,C,K,L,K,2,3,3,1,0,1,0,1,1,1,2,1,VC,CVV,CVC,1,0,2,V,V,F,1,abbiegen,antepaenultima
den,ø,n,en,den,lden,ilden,C,KC,CKC,CCKC,KCCKC,ø,ab,ab,a,ab,abb,abbi,abbil,K,KC,KCC,KCCK,KCCKC,acc,7,13,10,3,4,3,1,light,light,schwa,c,c,c,KC,CKC,CKC,,C,C,C,C,C,K,K,K,2,3,3,1,1,1,0,1,1,1,1,1,VC,CVC,CVC,1,2,2,V,V,F,1,abbilden,antepaenultima
dung,ø,g,ng,ung,dung,ldung,C,KC,CKC,CCKC,KCCKC,ø,Ab,ø,A,Ab,Abb,Abbi,Abbil,K,KC,KCC,KCCK,KCCKC,acc,7,13,12,3,4,4,2,light,light,light,c,c,c,KC,CKC,CKC,,C,C,C,C,C,K,K,K,2,3,4,1,1,1,0,1,1,1,1,1,VC,CVC,CVC,1,2,2,N,V,T,1,Abbildung,antepaenultima
sen,ø,n,en,sen,msen,imsen,C,KC,CKC,CCKC,KCCKC,ø,ab,ab,a,ab,abb,abbi,abbim,K,KC,KCC,KCCK,KCCKC,acc,7,12,10,3,4,3,1,light,light,schwa,c,c,c,KC,CKC,CKC,,C,C,C,C,C,K,K,K,2,3,3,1,1,1,0,1,1,1,1,1,VC,CVC,CVC,1,2,2,V,V,F,1,abbimsen,antepaenultima
den,ø,n,en,den,nden,inden,C,KC,CKC,CCKC,KCCKC,ø,ab,ab,a,ab,abb,abbi,abbin,K,KC,KCC,KCCK,KCCKC,acc,7,12,10,3,4,3,1,light,light,schwa,c,c,c,KC,CKC,CKC,,C,C,C,C,C,K,K,K,2,3,3,1,1,1,0,1,1,1,1,1,VC,CVC,CVC,1,2,2,V,V,F,1,abbinden,antepaenultima
ten,ø,n,en,ten,tten,itten,C,KC,CKC,KCKC,CKCKC,ø,ab,ab,a,ab,abb,abbi,abbit,K,KC,KCC,KCCK,KCCKC,acc,7,9,10,3,4,3,1,light,light,schwa,c,c,c,KC,CK,CKC,,C,C,C,,C,K,K,K,2,3,3,1,1,1,0,1,1,1,1,1,VC,CVC,CVC,1,2,2,V,V,F,1,abbitten,antepaenultima
te,ø,e,te,tte,itte,bitte,K,CK,KCK,CKCK,CCKCK,ø,Ab,ø,A,Ab,Abb,Abbi,Abbit,K,KC,KCC,KCCK,KCCKC,acc,7,9,7,3,4,3,0,light,light,schwa,c,c,o,KC,CK,CK,,C,C,C,,,K,K,K,2,3,2,1,1,0,0,1,1,1,1,1,VC,CVC,CV,1,2,1,N,V,T,1,Abbitte,antepaenultima
sen,ø,n,en,sen,asen,lasen,C,KC,CKC,LCKC,CLCKC,ø,ab,ab,a,ab,abb,abbl,abbla,K,KC,KCC,KCCC,KCCCL,acc,7,15,10,3,5,3,1,light,light,schwa,c,o,c,KC,CCL,CKC,,CC,C,C,,C,K,L,K,2,3,3,1,0,1,0,2,1,1,2,1,VC,CCVV,CVC,1,1,2,V,V,F,1,abblasen,antepaenultima
sen,ø,n,en,sen,ssen,assen,C,KC,CKC,KCKC,CKCKC,ø,ab,ab,a,ab,abb,abbl,abbla,K,KC,KCC,KCCC,KCCCK,acc,7,11,10,3,3,3,1,light,light,schwa,c,c,c,KC,CCK,CKC,,CC,C,C,,C,K,K,K,2,4,3,1,1,1,0,2,1,1,1,1,VC,CCVC,CVC,1,3,2,V,V,F,1,abblassen,antepaenultima
tern,ø,n,rn,ern,tern,ttern,C,CC,KCC,CKCC,KCKCC,ø,ab,ab,a,ab,abb,abbl,abbla,K,KC,KCC,KCCC,KCCCK,acc,7,11,14,3,3,3,3,light,light,schwa,c,c,c,KC,CCK,CKCC,,CC,C,C,,CC,K,K,K,2,4,4,1,1,2,0,2,1,1,1,1,VC,CCVC,CVCC,1,3,3,V,V,F,1,abblaettern,antepaenultima
den,ø,n,en,den,nden,enden,C,KC,CKC,CCKC,KCCKC,ø,ab,ab,a,ab,abb,abbl,abble,K,KC,KCC,KCCC,KCCCK,acc,7,14,10,3,3,3,1,light,light,schwa,c,c,c,KC,CCKC,CKC,,CC,C,C,C,C,K,K,K,2,4,3,1,1,1,0,2,1,1,1,1,VC,CCVC,CVC,1,3,2,V,V,F,1,abblenden,antepaenultima
zen,ø,n,en,zen,tzen,itzen,C,KC,AKC,KAKC,CKAKC,ø,ab,ab,a,ab,abb,abbl,abbli,K,KC,KCC,KCCC,KCCCK,acc,7,13,10,3,4,3,1,light,light,schwa,c,c,c,KC,CCK,AKC,,CC,A,C,,C,K,K,K,2,4,3,1,1,1,0,2,1,1,1,1,VC,CCVC,CVC,1,3,2,V,V,F,1,abblitzen,antepaenultima
cken,ø,n,en,ken,cken,ocken,C,KC,CKC,KCKC,CKCKC,ø,ab,ab,a,ab,abb,abbl,abblo,K,KC,KCC,KCCC,KCCCK,acc,7,11,10,3,3,3,1,light,light,schwa,c,c,c,KC,CCK,CKC,,CC,C,C,,C,K,K,K,2,3,4,1,1,1,0,2,1,1,1,1,VC,CCVC,CVC,1,3,2,V,V,F,1,abblocken,antepaenultima
ler,ler,r,er,ler,dler,ndler,C,KC,CKC,CCKC,CCCKC,noacc,Ab,ø,A,Ab,Abb,Abbr,Abbra,K,KC,KCC,KCCC,KCCCK,acc,7,15,14,3,3,4,3,light,heavy,schwa,c,c,c,KC,CCKCC,CKC,,CC,C,C,CC,C,K,K,K,2,5,3,1,2,1,0,2,1,1,1,1,VC,CCVCC,CVC,1,4,2,N,N,T,1,Abbraendler,antepaenultima
chen,chen,n,en,hen,chen,echen,C,KC,CKC,KCKC,CKCKC,ø,ab,ab,a,ab,abb,abbr,abbre,K,KC,KCC,KCCC,KCCCK,acc,7,11,10,3,3,3,1,light,light,schwa,c,c,c,KC,CCK,CKC,,CC,C,C,,C,K,K,K,2,3,4,1,1,1,0,2,1,1,1,1,VC,CCVC,CVC,1,3,2,V,V,F,1,abbrechen,antepaenultima
sen,ø,n,en,sen,msen,emsen,C,KC,CKC,CCKC,KCCKC,ø,ab,ab,a,ab,abb,abbr,abbre,K,KC,KCC,KCCC,KCCCK,acc,7,14,10,3,3,3,1,light,light,schwa,c,c,c,KC,CCKC,CKC,,CC,C,C,C,C,K,K,K,2,4,3,1,1,1,0,2,1,1,1,1,VC,CCVC,CVC,1,3,2,V,V,F,1,abbremsen,antepaenultima
nen,ø,n,en,nen,nnen,ennen,C,KC,CKC,KCKC,CKCKC,ø,ab,ab,a,ab,abb,abbr,abbre,K,KC,KCC,KCCC,KCCCK,acc,7,11,12,3,3,4,2,light,light,schwa,c,c,c,KC,CCK,CKC,,CC,C,C,,C,K,K,K,2,4,3,1,1,1,0,2,1,1,1,1,VC,CCVC,CVC,1,3,2,V,V,F,1,abbrennen,antepaenultima
gen,ø,n,en,gen,ngen,ingen,C,KC,CKC,KCKC,CKCKC,ø,ab,ab,a,ab,abb,abbr,abbri,K,KC,KCC,KCCC,KCCCK,acc,7,13,12,3,4,4,2,light,light,schwa,c,c,c,KC,CCK,CKC,,CC,C,C,,C,K,K,K,2,4,3,1,1,1,0,2,1,1,1,1,VC,CCVC,CVC,1,3,2,V,V,F,1,abbringen,antepaenultima
ckeln,ø,n,ln,eln,keln,ckeln,C,CC,KCC,CKCC,KCKCC,ø,ab,ab,a,ab,abb,abbr,abbro,K,KC,KCC,KCCC,KCCCK,acc,7,11,14,3,3,3,3,light,light,schwa,c,c,c,KC,CCK,CKCC,,CC,C,C,,CC,K,K,K,2,3,5,1,1,2,0,2,1,1,1,1,VC,CCVC,CVCC,1,3,3,V,V,F,1,abbroeckeln,antepaenultima
reif,ø,f,if,eif,reif,hreif,C,DC,CDC,CCDC,KCCDC,ø,ab,ab,a,ab,abb,abbr,abbru,K,KC,KCC,KCCC,KCCCK,acc,7,14,15,3,3,5,4,light,light,light,c,c,c,KC,CCKC,CDC,,CC,C,C,C,C,K,K,D,2,5,4,1,1,1,0,2,1,1,1,2,VC,CCVC,CVVC,1,3,1,A,N,F,1,abbruchreif,antepaenultima
hen,ø,n,en,hen,ehen,uehen,C,KC,LKC,CLKC,CCLKC,ø,ab,ab,a,ab,abb,abbr,abbru,K,KC,KCC,KCCC,KCCCL,acc,7,13,9,3,4,4,1,light,light,schwa,c,o,c,KC,CCL,KC,,CC,,C,,C,K,L,K,2,3,3,1,0,1,0,2,0,1,2,1,VC,CCVV,VC,1,1,1,V,V,F,1,abbruehen,antepaenultima
chen,chen,n,en,hen,chen,uchen,C,KC,CKC,LCKC,CLCKC,ø,ab,ab,a,ab,abb,abbu,abbuc,K,KC,KCC,KCCL,KCCLC,acc,7,9,10,3,4,3,1,light,light,schwa,c,o,c,KC,CL,CKC,,C,C,C,,C,K,L,K,2,2,4,1,0,1,0,1,1,1,2,1,VC,CVV,CVC,1,0,2,V,V,F,1,abbuchen,antepaenultima
