syl_suffix,signi_suffix,suffix1,suffix2,suffix3,suffix4,suffix5,suffix_phoncat1,suffix_phoncat2,suffix_phoncat3,suffix_phoncat4,suffix_phoncat5,suff_class,syl_praefix,signi_praefix,praefix1,praefix2,praefix3,praefix4,praefix5,praefix_phoncat1,praefix_phoncat2,praefix_phoncat3,praefix_phoncat4,praefix_phoncat5,prae_class,sonority0,sonority1,sonority2,sonority3,sonority4,sonority5,sonority6,sonority_ratio0,sonority_ratio1,sonority_ratio2,sonority_ratio3,sonority_ratio4,sonority_ratio5,sonority_ratio6,sonority_dir,syl_weight0,syl_weight1,syl_weight2,syl_weight3,syl_weight4,syl_weight5,syl_weight6,syl_open0,syl_open1,syl_open2,syl_open3,syl_open4,syl_open5,syl_open6,syl_phoncat0,syl_phoncat1,syl_phoncat2,syl_phoncat3,syl_phoncat4,syl_phoncat5,syl_phoncat6,onset_phoncat0,onset_phoncat1,onset_phoncat2,onset_phoncat3,onset_phoncat4,onset_phoncat5,onset_phoncat6,koda_phoncat0,koda_phoncat1,koda_phoncat2,koda_phoncat3,koda_phoncat4,koda_phoncat5,koda_phoncat6,nucleus_phoncat0,nucleus_phoncat1,nucleus_phoncat2,nucleus_phoncat3,nucleus_phoncat4,nucleus_phoncat5,nucleus_phoncat6,syl_len0,syl_len1,syl_len2,syl_len3,syl_len4,syl_len5,syl_len6,koda_len0,koda_len1,koda_len2,koda_len3,koda_len4,koda_len5,koda_len6,onset_len0,onset_len1,onset_len2,onset_len3,onset_len4,onset_len5,onset_len6,nucleus_len0,nucleus_len1,nucleus_len2,nucleus_len3,nucleus_len4,nucleus_len5,nucleus_len6,syl_cv0,syl_cv1,syl_cv2,syl_cv3,syl_cv4,syl_cv5,syl_cv6,cv_ratio0,cv_ratio1,cv_ratio2,cv_ratio3,cv_ratio4,cv_ratio5,cv_ratio6,pos,comp_struct,nomen,comp_len,Word,stress_class
keit,keit,t,it,eit,keit,gkeit,C,DC,CDC,CCDC,KCCDC,ø,Ab,ø,A,Ab,Abs,Abst,Abstr,K,KC,KCC,KCCC,KCCCC,ø,7,13,9,10,7,9,12,3,2,4,3,3,4,4,0,light,light,light,heavy,light,light,light,c,c,o,c,o,c,c,KC,CCCKC,AL,LCC,CL,KC,CDC,,CCC,A,,C,,C,C,C,,CC,,C,C,K,K,L,L,L,K,D,2,5,2,3,2,3,4,1,1,0,2,0,1,1,0,3,1,0,1,0,1,1,1,2,2,2,1,2,VC,CCCVC,CVV,VVCC,CVV,VC,CVVC,1,4,0,1,0,1,1,N,NN,T,2,Abstraktionsfaehigkeit,undef
mung,ø,g,ng,ung,mung,mmung,C,KC,CKC,KCKC,CKCKC,ø,Ad,ø,A,Ad,Adv,Adve,Adver,K,KC,KCC,KCCK,KCCKC,ø,7,11,9,14,7,10,14,3,3,4,7,3,3,4,0,light,light,light,light,schwa,light,light,c,c,o,c,o,c,c,KC,CKC,CL,LC,CK,CCK,CKC,,C,C,,C,CC,C,C,C,,C,,,C,K,K,L,L,K,K,K,2,3,2,2,2,4,4,1,1,0,1,0,1,1,0,1,1,0,1,2,1,1,1,2,2,1,1,1,VC,CVC,CVV,VVC,CV,CCVC,CVC,1,2,0,0,1,3,2,N,AN,T,2,Adverbialbestimmung,undef
lung,ø,g,ng,ung,lung,mlung,C,KC,CKC,CCKC,KCCKC,ø,Ak,ø,A,Ak,Akt,Akti,Aktio,K,KC,KCA,KCAL,KCALL,ø,7,9,6,14,11,7,18,3,4,6,3,3,3,4,1,light,light,light,heavy,light,light,light,c,o,o,c,c,c,c,KC,AL,L,CLCC,CKC,CK,CCKC,,A,,C,C,C,CC,C,,,CC,C,,C,K,L,L,L,K,K,K,2,2,1,4,3,4,4,1,0,0,2,1,1,1,0,1,0,1,1,1,2,1,2,2,2,1,1,1,VC,CVV,VV,CVVCC,CVC,CVC,CCVC,1,0,0,1,2,2,3,N,NV,T,2,Aktionaersversammlung,undef
gung,ø,g,ng,ung,gung,egung,C,KC,CKC,LCKC,CLCKC,ø,Ak,ø,A,Ak,Akt,Akti,Aktiv,K,KC,KCC,KCCL,KCCLC,ø,7,9,10,10,7,7,12,3,4,3,3,3,3,4,0,light,light,light,schwa,schwa,light,light,c,o,c,c,o,o,c,KC,CL,CKC,CKC,CK,CL,CKC,,C,C,C,C,C,C,C,,C,C,,,C,K,L,K,K,K,L,K,2,2,2,4,2,2,4,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,2,1,1,1,2,1,VC,CVV,CVC,CVC,CV,CVV,CVC,1,0,2,2,1,0,2,N,NN,T,2,Aktivistenbewegung,undef
fat,ø,t,at,fat,lfat,ulfat,C,LC,CLC,CCLC,KCCLC,ø,A,ø,A,Al,Alu,Alum,Alumi,K,KC,KCL,KCLC,KCLCL,ø,6,12,11,11,11,13,12,6,6,5,5,5,4,4,0,light,light,light,light,light,light,light,c,o,o,o,c,c,c,K,CL,CL,CL,KC,CKC,CLC,,C,C,C,,C,C,,,,,C,C,C,K,L,L,L,K,K,L,1,2,2,2,2,3,3,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1,2,2,2,1,1,2,VC,CVV,CVV,CVV,VC,CVC,CVVC,1,0,0,0,1,2,1,N,NN,T,2,Aluminiumsulfat,undef
ten,ø,n,en,ten,aten,raten,C,KC,CKC,LCKC,CLCKC,ø,an,an,a,an,ane,anei,anein,K,KC,KCD,KCDC,KCDCK,acc,9,13,9,11,7,14,10,4,6,4,3,3,7,3,0,light,light,light,schwa,schwa,light,schwa,c,c,c,c,o,o,c,KC,DC,KC,CKC,CK,CL,CKC,,,,C,C,C,C,C,C,C,C,,,C,K,D,K,K,K,L,K,2,3,2,3,2,2,3,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,2,1,1,1,2,1,VC,VVC,VC,CVC,CV,CVV,CVC,1,0,1,2,1,0,2,V,BV,F,2,aneinandergeraten,undef
den,ø,n,en,den,rden,orden,C,KC,CKC,CCKC,KCCKC,ø,An,ø,A,An,Ann,Annu,Annun,K,KC,KCK,KCKC,KCKCA,ø,6,14,9,10,10,10,10,6,4,4,10,3,5,3,0,light,light,light,light,schwa,light,schwa,c,c,o,o,c,c,c,K,CKC,AL,L,CKC,KC,CKC,,C,A,,C,,C,,C,,,C,C,C,K,K,L,L,K,K,K,2,3,2,1,3,2,3,1,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,2,2,1,1,1,VC,CVC,CVV,VV,CVC,VC,CVC,1,2,0,0,2,1,2,N,ø,T,0,Annunziatenorden,undef
del,ø,l,el,del,ndel,andel,C,KC,CKC,CCKC,KCCKC,ø,An,ø,A,An,Ant,Anti,Antiq,K,KC,KCC,KCCL,KCCLC,ø,9,9,10,7,10,10,11,4,4,3,3,3,3,3,0,light,light,light,light,schwa,light,schwa,c,o,o,o,c,c,c,KC,CL,CCL,CL,CKC,CKC,CKC,,C,CC,C,C,C,C,C,,,,C,C,C,K,L,L,L,K,K,K,2,2,3,2,3,3,3,1,0,0,0,1,1,1,0,1,2,1,1,1,1,1,2,2,2,1,1,1,VC,CVV,CCVV,CVV,CVC,CVC,CVC,1,0,1,0,2,2,2,N,NN,T,2,Antiquitaetenhandel,undef
druck,ø,k,ck,uck,ruck,druck,C,KC,CKC,CCKC,CCCKC,ø,At,ø,A,At,Atm,Atmo,Atmos,K,KC,KCC,KCCL,KCCLC,ø,7,9,8,13,8,11,14,3,4,2,4,8,3,3,0,light,light,light,schwa,light,schwa,light,c,o,o,c,o,c,c,KC,CL,CCL,CKC,L,CKC,CCKC,,C,CC,C,,C,CC,C,,,C,,C,C,K,L,L,K,L,K,K,2,2,4,3,1,3,5,1,0,0,1,0,1,1,0,1,2,1,0,1,2,1,2,2,1,2,1,1,VC,CVV,CCVV,CVC,VV,CVC,CCVC,1,0,1,2,0,2,3,N,NN,T,2,Atmosphaerenueberdruck,undef
rant,ø,t,nt,ant,rant,urant,N,CN,LCN,CLCN,CCLCN,ø,Au,ø,A,Au,Aut,Auto,Autom,D,DC,DCL,DCLC,DCLCL,ø,10,7,13,10,11,7,12,10,3,6,3,3,3,6,0,light,light,light,schwa,light,light,light,o,o,o,c,c,o,o,D,CL,CL,CKC,CLC,CL,CN,,C,C,C,C,C,C,,,,C,C,,,D,L,L,K,L,L,N,2,2,2,3,2,4,4,0,0,0,1,1,0,0,0,1,1,1,1,1,1,2,2,2,1,2,2,2,VV,CVV,CVV,CVC,CVVC,CVV,CVV,0,0,0,2,1,0,0,N,NN,T,2,Automatenrestaurant,undef
